Jugador,Posicion_Ranking,PuntosATP,Ranking_Efectividad_Saque,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido,Ranking_Efectividad_Resto,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
Struff,51,1134,56,260.2,55.8,74.3,47.3,77.5,9.3,4.0,73,130.4,28.1,50.1,19.3,32.9
Djere,52,1131,63,256.6,59.0,69.8,50.7,76.0,5.1,4.0,41,140.8,30.3,50.8,23.0,36.7
Kwon,53,1115,55,260.2,60.4,69.9,51.4,77.1,5.2,3.8,49,139.2,29.2,50.3,22.6,37.1
Koepfer,54,1101,72,252.6,61.6,67.1,50.0,73.7,4.5,4.3,42,140.7,29.1,49.6,21.9,40.1
Mcdonald,55,1084,33,269.9,64.7,69.8,52.2,79.3,6.3,2.4,62,135.4,28.8,50.3,20.9,35.4
Brooksby,56,1063,34,268.8,64.7,70.6,51.8,80.4,2.5,1.2,21,149.0,30.9,52.1,27.1,38.9
Van de zandschulp,57,1034,30,270.1,62.1,75.0,48.8,81.6,7.0,4.4,66,134.5,29.8,47.8,20.9,36.0
Rinderknech,58,1029,18,277.8,63.9,75.6,47.7,83.0,10.0,2.4,55,136.8,28.2,46.4,20.5,41.7
Musetti,59,1004,58,259.4,67.0,66.9,49.0,75.6,2.9,2.0,67,134.1,28.6,50.8,20.4,34.3
Martinez,60,1001,64,256.6,64.8,66.3,50.5,75.2,2.8,3.0,20,149.6,30.6,51.0,25.3,42.7
Popyrin,61,1000,23,274.9,59.2,74.7,52.4,82.9,9.5,3.8,76,125.3,26.6,46.6,16.7,35.4
Mager,62,978,48,262.3,59.0,71.6,50.1,78.4,6.3,3.1,70,132.9,26.9,47.3,18.9,39.8
Coria,63,976,83,244.4,64.2,62.5,50.3,67.8,2.5,2.9,15,152.6,31.1,51.6,27.1,42.8
Giron,66,929,47,262.7,59.7,72.2,48.9,78.6,5.5,2.2,64,134.9,27.4,49.5,19.0,39.0
Nakashima,68,917,16,279.1,59.2,76.4,54.2,84.1,7.4,2.2,40,141.3,26.1,51.5,21.0,42.7
Kecmanovic,69,916,67,255.5,61.2,66.9,52.3,73.3,4.2,2.4,58,136.4,29.0,49.4,20.6,37.4
Mannarino,71,879,73,252.2,57.6,70.0,48.9,74.5,3.9,2.7,77,125.2,27.4,44.8,15.9,37.1
Millman,72,875,71,253.5,62.1,67.6,49.7,72.9,2.7,1.5,36,143.6,29.3,50.5,22.2,41.6
Coric,73,874,5,293.0,66.7,76.2,57.3,85.8,9.0,2.0,75,128.2,27.5,48.1,17.3,35.3
Thompson,75,860,49,262.0,58.1,72.2,49.9,76.4,7.4,2.0,74,129.8,27.9,49.1,18.8,34.0
Munar,77,848,74,252.2,67.6,66.7,45.8,72.7,3.0,3.6,38,141.7,32.2,49.5,24.5,35.5
Travaglia,78,846,82,245.7,56.6,69.7,45.5,71.2,5.9,3.2,51,138.3,31.6,45.1,23.0,38.6
Nishioka,81,823,81,246.1,66.5,63.3,48.9,67.6,1.6,1.8,78,124.6,25.8,49.4,15.9,33.5
Molcan,88,806,69,253.8,64.6,66.6,48.0,73.3,4.0,2.7,3,169.4,35.3,55.6,34.7,43.8
Kyrgios,93,793,4,293.7,67.7,77.1,51.3,85.6,14.4,2.4,84,108.1,23.7,43.6,11.5,29.3
Ymer,94,782,84,242.0,68.0,63.0,44.9,67.5,2.0,3.4,14,152.9,31.8,51.6,28.7,40.8
Ruusuvuori,95,778,65,256.6,64.9,68.7,48.3,74.1,4.3,3.7,32,146.4,31.3,51.9,24.2,39.0
Baez,99,762,43,263.9,78.4,64.6,49.2,71.7,0.6,0.6,80,114.7,31.0,39.8,19.6,24.3
Cecchinato,100,759,44,263.8,67.1,68.3,50.3,76.4,4.3,2.6,59,136.1,30.6,47.5,20.0,38.0
Rune,103,740,76,250.1,60.4,68.3,49.7,71.6,3.4,3.3,27,148.2,28.7,53.5,24.3,41.7
Berankis,104,739,70,253.7,61.0,68.9,49.1,74.8,2.8,2.9,63,135.4,27.8,51.4,21.0,35.2
Chardy,107,718,60,258.4,62.8,68.9,49.3,75.5,6.0,4.1,69,133.0,27.3,48.0,18.2,39.5
Bedene,109,715,46,263.0,54.2,75.4,49.3,79.5,8.2,3.6,44,140.4,29.5,48.3,20.4,42.2
Cressy,112,683,12,284.2,61.1,79.2,50.6,85.0,16.7,8.4,79,123.8,25.9,48.6,15.1,34.2
Gerasimov,113,665,75,252.1,64.1,69.2,43.4,73.3,6.3,4.2,60,135.7,28.2,49.7,20.7,37.1
Cerundolo,127,582,79,247.6,67.8,63.2,47.1,70.6,1.8,2.9,24,148.8,36.9,47.5,25.5,38.9
Murray,134,521,39,267.5,57.9,72.7,50.8,80.9,7.9,2.7,43,140.5,27.7,51.0,22.2,39.6
